,attack type,shadow model,slice feature,slice value,train size,test size,Attacker advantage,Positive predictive value,AUC,fpr@0.1,fpr@0.001
216,lira,19,class,6,2959,2959,0.0713,1.0000,0.5529,0.1403,0.0196
217,lira,19,class,7,3132,3133,0.0450,1.0000,0.5314,0.1335,0.0144
218,lira,19,class,8,2925,2926,0.0818,1.0000,0.5586,0.1470,0.0181
219,lira,19,class,9,2974,2975,0.0564,1.0000,0.5377,0.1321,0.0195
220,lira,20,Entire dataset,,29997,30003,0.0538,1.0000,0.5436,0.1361,0.0169
221,lira,20,class,0,2961,2962,0.0397,1.0000,0.5187,0.1054,0.0108
222,lira,20,class,1,3371,3371,0.0341,1.0000,0.5211,0.1151,0.0133
223,lira,20,class,2,2979,2979,0.0916,1.0000,0.5654,0.1494,0.0235
224,lira,20,class,3,3065,3066,0.0641,1.0000,0.5478,0.1455,0.0245
225,lira,20,class,4,2921,2921,0.0490,1.0000,0.5293,0.1072,0.0140
226,lira,20,class,5,2710,2711,0.0806,1.0000,0.5586,0.1542,0.0255
227,lira,20,class,6,2959,2959,0.0564,1.0000,0.5415,0.1433,0.0122
228,lira,20,class,7,3132,3133,0.0656,1.0000,0.5500,0.1437,0.0109
229,lira,20,class,8,2925,2926,0.0781,1.0000,0.5556,0.1508,0.0181
230,lira,20,class,9,2974,2975,0.0721,1.0000,0.5504,0.1369,0.0165
231,lira,21,Entire dataset,,29997,30003,0.0571,1.0000,0.5479,0.1396,0.0197
232,lira,21,class,0,2961,2962,0.0454,1.0000,0.5255,0.1320,0.0095
233,lira,21,class,1,3371,3371,0.0424,1.0000,0.5267,0.1184,0.0092
234,lira,21,class,2,2979,2979,0.0906,1.0000,0.5728,0.1742,0.0235
235,lira,21,class,3,3065,3066,0.0713,1.0000,0.5518,0.1396,0.0134
236,lira,21,class,4,2921,2921,0.0650,1.0000,0.5416,0.1345,0.0175
237,lira,21,class,5,2710,2711,0.0811,1.0000,0.5588,0.1535,0.0266
238,lira,21,class,6,2959,2959,0.0737,1.0000,0.5556,0.1463,0.0172
239,lira,21,class,7,3132,3133,0.0673,1.0000,0.5430,0.1264,0.0163
240,lira,21,class,8,2925,2926,0.0805,1.0000,0.5572,0.1494,0.0291
241,lira,21,class,9,2974,2975,0.0642,1.0000,0.5491,0.1355,0.0198
242,lira,22,Entire dataset,,29997,30003,0.0536,1.0000,0.5459,0.1438,0.0172
243,lira,22,class,0,2961,2962,0.0440,1.0000,0.5263,0.1415,0.0095
244,lira,22,class,1,3371,3371,0.0403,1.0000,0.5223,0.1252,0.0116
245,lira,22,class,2,2979,2979,0.1057,1.0000,0.5781,0.1688,0.0232
246,lira,22,class,3,3065,3066,0.0585,1.0000,0.5443,0.1393,0.0196
247,lira,22,class,4,2921,2921,0.0486,1.0000,0.5351,0.1208,0.0137
248,lira,22,class,5,2710,2711,0.0848,1.0000,0.5603,0.1435,0.0192
249,lira,22,class,6,2959,2959,0.0693,1.0000,0.5494,0.1423,0.0095
250,lira,22,class,7,3132,3133,0.0588,1.0000,0.5405,0.1497,0.0156
251,lira,22,class,8,2925,2926,0.0699,1.0000,0.5534,0.1497,0.0178
252,lira,22,class,9,2974,2975,0.0734,1.0000,0.5537,0.1587,0.0188
253,lira,23,Entire dataset,,29997,30003,0.0526,1.0000,0.5421,0.1376,0.0175
254,lira,23,class,0,2961,2962,0.0345,1.0000,0.5186,0.1199,0.0095
255,lira,23,class,1,3371,3371,0.0294,1.0000,0.5152,0.1225,0.0145
256,lira,23,class,2,2979,2979,0.0826,1.0000,0.5529,0.1514,0.0215
257,lira,23,class,3,3065,3066,0.0678,1.0000,0.5426,0.1331,0.0189
